playerID,awardID,yearID,lgID,tie,notes
banisje01,BBWAA Manager of the Year,2015,AL,,
collite99,TSN Manager of the Year,2015,NL,,
maddojo99,BBWAA Manager of the Year,2015,NL,,
molitpa01,TSN Manager of the Year,2015,AL,,
francte01,BBWAA Manager of the Year,2016,AL,,
francte01,TSN Manager of the Year,2016,AL,,
roberda07,BBWAA Manager of the Year,2016,NL,,
roberda07,TSN Manager of the Year,2016,NL,,
counscr01,TSN Manager of the Year,2017,NL,,
francte01,TSN Manager of the Year,2017,AL,,
lovulto01,BBWAA Manager of the Year,2017,NL,,
molitpa01,BBWAA Manager of the Year,2017,AL,,
counscr01,TSN Manager of the Year,2018,NL,Y,
melvibo01,BBWAA Manager of the Year,2018,AL,,
melvibo01,TSN Manager of the Year,2018,AL,,
snitkbr99,BBWAA Manager of the Year,2018,NL,,
snitkbr99,TSN Manager of the Year,2018,NL,Y,
baldero01,BBWAA Manager of the Year,2019,AL,,
cashke01,TSN Manager of the Year,2019,AL,,
shildmi99,BBWAA Manager of the Year,2019,NL,,
snitkbr99,TSN Manager of the Year,2019,NL,,
cashke01,BBWAA Manager of the Year,2020,AL,,
cashke01,TSN Manager of the Year,2020,AL,,
mattido01,BBWAA Manager of the Year,2020,NL,,
mattido01,TSN Manager of the Year,2020,NL,,
cashke01,BBWAA Manager of the Year,2021,AL,,
cashke01,TSN Manager of the Year,2021,AL,,
kaplega01,BBWAA Manager of the Year,2021,NL,,
kaplega01,TSN Manager of the Year,2021,NL,,
francte01,BBWAA Manager of the Year,2022,AL,,
hydebr99,TSN Manager of the Year,2022,AL,,
showabu99,BBWAA Manager of the Year,2022,NL,,
showabu99,TSN Manager of the Year,2022,NL,,
counscr01,TSN Manager of the Year,2023,NL,Y,
hydebr99,BBWAA Manager of the Year,2023,AL,,
hydebr99,TSN Manager of the Year,2023,AL,,
schumsk01,BBWAA Manager of the Year,2023,NL,,
snitkbr99,TSN Manager of the Year,2023,NL,Y,
murphpa99,BBWAA Manager of the Year,2024,NL,,
murphpa99,TSN Manager of the Year,2024,NL,,
vogtst01,BBWAA Manager of the Year,2024,AL,,
vogtst01,TSN Manager of the Year,2024,AL,,
